Make,Model,Broad.phase.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Event.Year
Maule,M5-235C,Maneuvering,0.0,0.0,0.0,1.0,1991
Piper,PA-24,Takeoff,1.0,0.0,0.0,0.0,1991
Piper,PA-20,Landing,0.0,0.0,0.0,2.0,1991
Piper,PA-24-260,Approach,0.0,0.0,0.0,1.0,1991
Cessna,340,Approach,5.0,0.0,0.0,0.0,1991
Beech,C23,Descent,1.0,0.0,0.0,0.0,1991
Bellanca,7ECA,Maneuvering,2.0,0.0,0.0,0.0,1991
Beech,V35TC,Takeoff,1.0,0.0,0.0,0.0,1991
Beech,B19,Cruise,0.0,0.0,0.0,4.0,1991
Beech,B100,Approach,3.0,0.0,0.0,0.0,1991
Cessna,210H,Cruise,0.0,0.0,1.0,0.0,1991
Cessna,210N,Landing,0.0,0.0,0.0,1.0,1991
Cessna,421,Landing,0.0,0.0,0.0,4.0,1991
Beech,A36,Takeoff,1.0,3.0,0.0,0.0,1991
Piper,PA-24-250,Cruise,1.0,2.0,0.0,0.0,1991
Cessna,150,Takeoff,0.0,0.0,0.0,1.0,1991
Cessna,150,Cruise,0.0,0.0,0.0,1.0,1991
Aero Commander,690A,Landing,0.0,0.0,0.0,8.0,1991
Beech,58P,Approach,2.0,0.0,0.0,0.0,1991
Cessna,180K,Landing,0.0,0.0,0.0,2.0,1991
Cessna,182Q,Approach,0.0,0.0,0.0,2.0,1992
Piper,PA-31P,Maneuvering,1.0,0.0,0.0,0.0,1992
Cessna,182,Landing,0.0,0.0,0.0,1.0,1992
Piper,PA-46-350P,Takeoff,0.0,0.0,0.0,4.0,1992
Cessna,205A,Cruise,0.0,0.0,0.0,2.0,1992
Hughes,369D,Cruise,1.0,0.0,0.0,0.0,1992
Cessna,177RG,Takeoff,0.0,0.0,0.0,1.0,1992
Mooney,M20J,Landing,0.0,1.0,1.0,0.0,1992
Cessna,182,Taxi,0.0,0.0,0.0,1.0,1992
Cessna,170B,Maneuvering,1.0,0.0,0.0,0.0,1992
Bellanca,17-30,Takeoff,1.0,2.0,0.0,0.0,1992
Cessna,182,Descent,2.0,0.0,0.0,0.0,1992
Piper,PA-31T,Takeoff,3.0,0.0,0.0,0.0,1992
Beech,99,Taxi,0.0,0.0,0.0,2.0,1992
Cessna,172RG,Approach,0.0,0.0,0.0,2.0,1992
Stinson,108-2,Approach,1.0,0.0,0.0,0.0,1992
Piper,PA-32-301,Maneuvering,3.0,0.0,0.0,0.0,1992
Piper,PA60-700P,Landing,0.0,0.0,0.0,6.0,1992
Robinson,R-22M,Landing,0.0,0.0,0.0,2.0,1992
Piper,PA-28R-200,Approach,2.0,0.0,0.0,0.0,1992
Cessna,182N,Maneuvering,0.0,0.0,0.0,2.0,1992
Cessna,340,Landing,0.0,0.0,0.0,1.0,1992
Mooney,M20C,Cruise,0.0,0.0,0.0,1.0,1992
Piper,PA-18A-150,Maneuvering,0.0,2.0,0.0,0.0,1992
Piper,46-310P,Approach,0.0,0.0,0.0,2.0,1992
Piper,PA-32-300,Takeoff,1.0,0.0,0.0,0.0,1992
Bellanca,17-31A,Approach,0.0,0.0,1.0,1.0,1992
Bellanca,7 GCBC,Approach,0.0,0.0,1.0,0.0,1992
Piper,PA 28-236,Cruise,1.0,0.0,0.0,0.0,1992
Cessna,A185F,Landing,0.0,0.0,0.0,2.0,1992
Cessna,T210N,Descent,1.0,3.0,0.0,0.0,1992
Cessna,172N,Landing,0.0,0.0,0.0,1.0,1992
Robinson,R-22B,Cruise,1.0,0.0,0.0,0.0,1992
Cessna,172M,Landing,0.0,0.0,0.0,2.0,1992
Aerostar,AX-9 - S-66A,Landing,0.0,1.0,0.0,5.0,1992
Piper,PA-12,Cruise,0.0,0.0,0.0,1.0,1992
Enstrom,F28A,Cruise,0.0,0.0,0.0,1.0,1992
North American,NAVION,Landing,0.0,0.0,0.0,1.0,1992
Cessna,TR182,Landing,0.0,0.0,1.0,1.0,1992
Cessna,421C,,0.0,0.0,0.0,1.0,1992
Mooney,M20J,Approach,1.0,0.0,0.0,0.0,1992
Fantasy Sky Promotions,AX-7,Standing,0.0,2.0,0.0,0.0,1992
Champion,7GCAA,Maneuvering,1.0,0.0,0.0,0.0,1992
Beech,BE-200,Approach,4.0,0.0,0.0,0.0,1992
Piper,PA-28R-180,Approach,1.0,0.0,0.0,0.0,1992
North American,NA-265-50,Landing,0.0,0.0,0.0,4.0,1992
Cessna,T210N,Cruise,0.0,0.0,2.0,0.0,1992
Bell,47-2A-1,Landing,0.0,0.0,0.0,1.0,1992
Beech,A36,Cruise,0.0,0.0,0.0,1.0,1992
Cessna,185F,Landing,0.0,0.0,0.0,1.0,1992
Piper,PA32R-300,,0.0,0.0,0.0,6.0,1992
Cessna,182Q,Landing,0.0,0.0,0.0,1.0,1992
Piper,PA-28-181,Descent,0.0,1.0,2.0,0.0,1992
Cessna,T210N,Cruise,1.0,0.0,0.0,0.0,1992
Cessna,U206F,Cruise,1.0,0.0,1.0,0.0,1992
Piper,PA-32R-301T,Cruise,0.0,0.0,1.0,1.0,1992
Piper,PA-28R-201T,Maneuvering,1.0,0.0,0.0,0.0,1992
Beech,23,Go-around,3.0,0.0,0.0,0.0,1992
Beech,D55,Takeoff,0.0,0.0,0.0,2.0,1992
Aero Commander,560-F,Cruise,4.0,0.0,0.0,0.0,1992
Cessna,172,Takeoff,0.0,0.0,0.0,3.0,1992
De Havilland,DHC-2 MARK 1,Maneuvering,6.0,1.0,0.0,0.0,1992
Aeronca,7AC,Takeoff,0.0,0.0,0.0,2.0,1992
Piper,PA-18-150,Approach,0.0,0.0,1.0,0.0,1992
Mbb,BO-105,Maneuvering,0.0,0.0,3.0,0.0,1992
Cessna,T-210N,Takeoff,0.0,1.0,0.0,0.0,1992
Cessna,A185F,Landing,0.0,0.0,0.0,4.0,1992
Piper,PA-28R-180,Descent,3.0,0.0,0.0,0.0,1992
Piper,PA-18,Landing,1.0,0.0,0.0,0.0,1992
Beech,A36TC,Approach,0.0,1.0,3.0,0.0,1992
Cessna,T210L,Approach,0.0,0.0,0.0,2.0,1992
Hughes,269A,Maneuvering,0.0,1.0,0.0,1.0,1992
Cessna,206,Landing,0.0,0.0,0.0,1.0,1992
Piper,PA-12,Takeoff,0.0,0.0,0.0,2.0,1992
Cessna,206,Cruise,0.0,1.0,1.0,1.0,1992
Piper,PA-46-310P,Descent,0.0,0.0,0.0,1.0,1992
Sikorsky,S-58G,Cruise,0.0,0.0,0.0,1.0,1992
Piper,PA-32-260,Cruise,0.0,3.0,0.0,0.0,1992
Piper,PA-18-180,Maneuvering,0.0,0.0,0.0,2.0,1992
Piper,PA-18-150,Go-around,0.0,0.0,2.0,0.0,1992
Hughes,369D,Cruise,0.0,2.0,0.0,0.0,1992
Beech,G35,Cruise,2.0,0.0,0.0,0.0,1992
Piper,PA-44-180T,Descent,0.0,0.0,0.0,2.0,1992
Piper,PA-18,Cruise,0.0,0.0,0.0,1.0,1992
De Havilland,DHC-2,Takeoff,0.0,0.0,0.0,5.0,1992
Piper,PA-28-180,Landing,0.0,0.0,0.0,1.0,1992
Cessna,206U,Takeoff,0.0,0.0,0.0,1.0,1992
Aero Commander,680,Taxi,1.0,1.0,0.0,0.0,1992
Cessna,210G,Cruise,0.0,0.0,0.0,1.0,1992
Piper,PA-32-260,Descent,2.0,0.0,0.0,0.0,1992
Mooney,M20J,Takeoff,0.0,0.0,2.0,2.0,1992
Beech,55,Approach,2.0,0.0,0.0,0.0,1992
Piper,PA-28-181,Cruise,0.0,0.0,0.0,4.0,1992
Cessna,206,Landing,0.0,0.0,0.0,1.0,1992
Beech,K35,Takeoff,0.0,0.0,0.0,2.0,1992
"Smith, Ted Aerostar",AEROSTAR 601,Takeoff,0.0,0.0,1.0,2.0,1992
Beech,B100,Landing,0.0,0.0,0.0,9.0,1992
Mitsubishi,MU-2B-25,Takeoff,0.0,0.0,0.0,4.0,1992
Beech,A36,Approach,0.0,0.0,0.0,3.0,1992
De Havilland,DHC2,Landing,0.0,0.0,0.0,1.0,1992
Cessna,310R-II,Go-around,0.0,0.0,1.0,5.0,1993
Piper,PA-32R-301,Cruise,0.0,0.0,0.0,2.0,1993
Piper,PA-32-300,Cruise,2.0,0.0,0.0,0.0,1993
Swearingen,SA-226T(B),Landing,0.0,0.0,0.0,7.0,1993
Beech,V35B,Descent,3.0,0.0,0.0,0.0,1993
Beech,58P,Landing,0.0,0.0,0.0,2.0,1993
Eagle Aircraft Co.,C-7,Landing,0.0,2.0,0.0,1.0,1993
Cessna,182C,Landing,0.0,0.0,0.0,1.0,1993
Piper,PA-31,Approach,0.0,0.0,0.0,3.0,1993
Robinson,R22 BETA,Maneuvering,0.0,0.0,2.0,0.0,1993
Cessna,172RG,Landing,0.0,0.0,0.0,2.0,1993
Beech,D35,Takeoff,0.0,0.0,3.0,0.0,1993
Cessna,T210N,Cruise,0.0,0.0,0.0,2.0,1993
Beech,200,Landing,0.0,0.0,0.0,6.0,1993
Cessna,335,Landing,0.0,0.0,0.0,2.0,1993
Beech,A36,Approach,2.0,3.0,0.0,0.0,1993
Hiller,UH-12E,Takeoff,3.0,0.0,0.0,0.0,1993
Piper,PA-12-150,Cruise,0.0,0.0,0.0,1.0,1993
Piper,PA-31,Approach,0.0,0.0,2.0,2.0,1993
Cessna,T210,Cruise,0.0,0.0,0.0,1.0,1993
Piper,PA-28-161,Cruise,0.0,0.0,0.0,2.0,1993
Piper,PA-28R-200,Climb,0.0,0.0,0.0,1.0,1993
Cessna,177B,Maneuvering,2.0,0.0,0.0,0.0,1993
Cessna,172,Landing,0.0,0.0,0.0,1.0,1993
Beech,V-35B,Takeoff,0.0,0.0,0.0,2.0,1993
Mooney,M20E,Cruise,0.0,1.0,0.0,0.0,1993
Cessna,320C,Landing,0.0,0.0,0.0,2.0,1993
Piper,PA-18-150,Maneuvering,2.0,0.0,0.0,0.0,1993
Piper,PA-18,Maneuvering,1.0,1.0,0.0,0.0,1993
Cessna,U206F,Approach,0.0,0.0,2.0,0.0,1993
Piper,PA-18,Landing,0.0,0.0,0.0,1.0,1993
Beech,B100,Taxi,0.0,0.0,0.0,1.0,1993
Robinson,R-22,Takeoff,0.0,0.0,0.0,2.0,1993
Cessna,182N,Approach,0.0,2.0,2.0,0.0,1993
Cessna,305A,Landing,0.0,0.0,0.0,2.0,1993
Bell,206L-1,Maneuvering,0.0,0.0,2.0,5.0,1993
Cessna,170B,Landing,0.0,0.0,0.0,1.0,1993
Mooney,M20E,Cruise,2.0,0.0,0.0,0.0,1993
Cessna,TU206G,Landing,0.0,0.0,0.0,3.0,1993
Cessna,185,Landing,0.0,0.0,0.0,3.0,1993
Cessna,320,Cruise,0.0,0.0,0.0,1.0,1993
Cessna,A185E,Takeoff,0.0,0.0,1.0,0.0,1993
Convair,440,Cruise,0.0,0.0,0.0,15.0,1993
Cessna,421B,Takeoff,0.0,0.0,0.0,1.0,1993
Beech,200,Landing,0.0,1.0,0.0,5.0,1993
Pzl Warzawa-okecie,PZL-104 WILGA 80,Taxi,0.0,0.0,0.0,1.0,1993
Piper,PA-18-150,Landing,0.0,0.0,0.0,1.0,1993
Enstrom,F28C,Cruise,1.0,0.0,0.0,0.0,1993
Gritter,QUEST AIR 20,Landing,0.0,0.0,0.0,1.0,1993
Bell,B-3,Landing,0.0,0.0,0.0,4.0,1993
Cessna,182F,Landing,0.0,0.0,0.0,2.0,1993
Beech,B19,Descent,0.0,0.0,0.0,1.0,1993
Douglas,B-26B,Takeoff,0.0,0.0,2.0,0.0,1993
Beech,58,Maneuvering,3.0,0.0,0.0,0.0,1993
Us/lta,138S AIRSHIP,Cruise,0.0,1.0,1.0,0.0,1993
Cessna,210,Descent,0.0,0.0,2.0,0.0,1993
Helio,H295,Landing,0.0,0.0,0.0,2.0,1993
Beech,95-A55,Takeoff,1.0,0.0,0.0,0.0,1993
Beech,60,Landing,0.0,2.0,1.0,0.0,1993
Beech,D18S,Takeoff,0.0,0.0,1.0,0.0,1993
Bell,B206BII,Maneuvering,0.0,0.0,0.0,3.0,1993
Commander,114B,Taxi,0.0,0.0,0.0,5.0,1993
Cessna,170B,Takeoff,0.0,1.0,0.0,0.0,1993
Rockwell,690-A,Approach,5.0,0.0,0.0,0.0,1993
Cessna,170,Unknown,2.0,0.0,0.0,0.0,1993
Cessna,180,Taxi,0.0,0.0,0.0,3.0,1993
Artic Aircraft Corp.,S-1B2,Unknown,2.0,0.0,0.0,0.0,1993
Piper,PA-32-300,Cruise,6.0,0.0,0.0,0.0,1993
Cessna,T210N,Approach,0.0,0.0,1.0,2.0,1993
Piper,PA-31-350,Cruise,0.0,0.0,0.0,7.0,1993
Enstrom,F-28C,Cruise,0.0,0.0,0.0,1.0,1993
Piper,AEROSTAR 601P,Landing,0.0,0.0,0.0,6.0,1993
Cessna,T210N,Approach,0.0,0.0,0.0,1.0,1993
Piper,PA-18,Takeoff,0.0,0.0,0.0,2.0,1993
Mitsubishi,MU-2B-40,Cruise,0.0,0.0,3.0,0.0,1993
Cessna,185,Cruise,1.0,0.0,0.0,0.0,1993
Fairchild,SA-227-AC,Maneuvering,0.0,0.0,0.0,2.0,1993
Cessna,414A,Taxi,0.0,0.0,0.0,5.0,1993
Cessna,T210N,Climb,0.0,0.0,0.0,2.0,1993
Piper,PA-18,Landing,0.0,0.0,1.0,0.0,1993
Piper,PA-34-200T,Takeoff,0.0,0.0,0.0,1.0,1993
Piper,PA-32RT-300T,Climb,2.0,0.0,0.0,0.0,1993
Piper,PA-18,Maneuvering,0.0,0.0,0.0,1.0,1993
Cessna,206,Takeoff,1.0,0.0,4.0,0.0,1993
Piper,PA-18-150,Approach,0.0,0.0,0.0,1.0,1993
Piper,PA-34-200,Go-around,0.0,0.0,1.0,3.0,1993
Hiller,H-23C,,0.0,0.0,1.0,0.0,1993
Piper,PA-23-250,Approach,0.0,0.0,0.0,1.0,1993
Mooney,M20C,Takeoff,0.0,1.0,0.0,0.0,1993
Piper,PA-14,Landing,0.0,0.0,0.0,4.0,1993
Piper,PA-18,Takeoff,0.0,0.0,0.0,2.0,1993
Cessna,150H,Climb,0.0,0.0,0.0,1.0,1993
Schweizer,269C,Cruise,0.0,0.0,0.0,1.0,1993
Maule,M-6-235,Maneuvering,1.0,0.0,0.0,0.0,1993
Cessna,T182RG,Landing,0.0,0.0,0.0,1.0,1993
Piper,PA-18,Takeoff,0.0,0.0,0.0,2.0,1993
Piper,PA-18-160,Landing,0.0,0.0,0.0,2.0,1993
Douglas,C-54GDC,Landing,0.0,0.0,0.0,3.0,1993
Cessna,172P,Maneuvering,2.0,0.0,0.0,0.0,1993
Mcdonnell Douglas,369E,Cruise,1.0,1.0,1.0,0.0,1993
Cessna,182N,Landing,0.0,0.0,0.0,2.0,1993
Beech,F33A,Cruise,0.0,0.0,1.0,2.0,1993
Bell,206B,Maneuvering,1.0,0.0,2.0,0.0,1993
Piper,PA-32RT-300T,Cruise,5.0,0.0,0.0,0.0,1993
Mooney,M20L,Descent,2.0,0.0,0.0,0.0,1993
Cessna,T210F,Taxi,0.0,0.0,0.0,1.0,1993
Rockwell,114,Cruise,0.0,0.0,4.0,0.0,1993
Cessna,182P,Climb,3.0,0.0,0.0,0.0,1993
Mooney,MO-20J,Cruise,2.0,0.0,0.0,0.0,1993
Cessna,206,Takeoff,0.0,0.0,0.0,4.0,1993
Cessna,A185F,Landing,0.0,0.0,0.0,1.0,1993
Aerospatiale,TB-21,Takeoff,2.0,1.0,0.0,0.0,1993
Piper,PA-44-180,Approach,0.0,0.0,0.0,3.0,1993
Cessna,550,Takeoff,0.0,0.0,0.0,2.0,1993
Cessna,T210,Cruise,0.0,2.0,1.0,0.0,1993
Piper,PA-32R-300,Approach,2.0,0.0,0.0,0.0,1993
Bellanca,17-30A,Approach,1.0,0.0,0.0,0.0,1993
Beech,B36TC,Descent,2.0,0.0,0.0,0.0,1993
Swearingen,SA-226T,Landing,0.0,0.0,0.0,1.0,1994
Piper,PA-28-236,Cruise,0.0,0.0,0.0,1.0,1994
Cessna,T210N,Cruise,0.0,0.0,0.0,2.0,1994
Cessna,T210H,Approach,0.0,0.0,1.0,0.0,1994
Cessna,340A,Landing,0.0,0.0,0.0,1.0,1994
Cessna,320F,Approach,1.0,1.0,0.0,0.0,1994
Beech,G18S,Climb,0.0,0.0,1.0,0.0,1994
Piper,PA-34-200,Landing,0.0,0.0,0.0,1.0,1994
Piper,PA-39,Approach,1.0,0.0,0.0,0.0,1994
Beech,2000 (STARSHIP),,0.0,0.0,0.0,6.0,1994
Beech,400,Landing,0.0,0.0,0.0,6.0,1994
Cessna,P337H,Approach,1.0,0.0,0.0,0.0,1994
Cessna,P210R,Cruise,4.0,0.0,0.0,0.0,1994
Cessna,TU206F,Cruise,0.0,0.0,0.0,1.0,1994
Piper,PA-18-150,Landing,0.0,0.0,0.0,1.0,1994
Mooney,M20C,Cruise,0.0,0.0,0.0,2.0,1994
Piper,PA-28RT-201T,Cruise,0.0,0.0,0.0,4.0,1994
Cessna,172RG,Climb,4.0,0.0,0.0,0.0,1994
Beech,BE200,Cruise,0.0,0.0,0.0,5.0,1994
Piper,PA-24-250,Cruise,0.0,0.0,2.0,0.0,1994
Cessna,182A,Takeoff,0.0,2.0,3.0,0.0,1994
Piper,PA-23-250,Go-around,2.0,0.0,0.0,0.0,1994
Learjet,55,,0.0,0.0,0.0,10.0,1994
Abc,ABC 60 PLUS,,0.0,0.0,0.0,2.0,1994
Cessna,172N,Landing,0.0,0.0,0.0,3.0,1994
Cessna,A185F,Takeoff,0.0,0.0,0.0,1.0,1994
Piper,J3,Landing,0.0,0.0,0.0,1.0,1994
Cessna,172,Takeoff,0.0,0.0,0.0,2.0,1994
Piper,PA-32R-300,Landing,0.0,0.0,0.0,2.0,1994
Remote Sensing,CIRRUS VK-30,Approach,2.0,0.0,0.0,0.0,1994
Piper,PA-32-260,Cruise,1.0,0.0,0.0,0.0,1994
Cameron,ET-90,Approach,0.0,0.0,3.0,0.0,1994
Cessna,P210N,Landing,0.0,0.0,0.0,1.0,1994
Beech,23-C23,Landing,0.0,0.0,0.0,1.0,1994
Bell,206B,Maneuvering,0.0,0.0,0.0,2.0,1994
Cessna,172N,Cruise,0.0,0.0,1.0,0.0,1994
Schweizer,269C,Cruise,0.0,1.0,0.0,0.0,1994
Mooney,M20K,Descent,2.0,0.0,0.0,0.0,1994
Piper,PA-18-150,Takeoff,0.0,0.0,0.0,1.0,1994
Mooney,M20J,Cruise,0.0,0.0,0.0,1.0,1994
Piper,PA-28-181,Landing,0.0,0.0,0.0,2.0,1994
Cessna,152,Landing,0.0,0.0,0.0,2.0,1994
Piper,PA-18,Takeoff,0.0,0.0,0.0,1.0,1994
Rockwell,AC-690,Landing,0.0,0.0,0.0,2.0,1994
Mooney,M20C,Climb,1.0,0.0,0.0,0.0,1994
Cessna,172H,Taxi,2.0,1.0,0.0,0.0,1994
Hughes,369D,Maneuvering,0.0,0.0,0.0,2.0,1994
Cessna,421C,Takeoff,2.0,1.0,0.0,0.0,1994
Robinson,R-22,Cruise,0.0,0.0,0.0,1.0,1994
Piper,PA-28,Cruise,0.0,0.0,0.0,1.0,1994
Classic Aircraft Corp.,WACO YMF5,Cruise,0.0,0.0,1.0,2.0,1994
Cessna,180,Landing,0.0,0.0,0.0,2.0,1994
Piper,PA-31-350,Landing,0.0,0.0,0.0,1.0,1994
Beech,58TC,Cruise,3.0,0.0,0.0,0.0,1994
Cessna,441,Takeoff,0.0,0.0,0.0,1.0,1994
Beech,H-35,Cruise,2.0,0.0,0.0,0.0,1994
Cessna,172,Takeoff,0.0,0.0,0.0,2.0,1994
Cessna,T210M,Takeoff,2.0,0.0,0.0,0.0,1994
North American,F-100F,,1.0,0.0,0.0,0.0,1994
Piper,PA-60-700P,Takeoff,0.0,0.0,1.0,4.0,1994
Piper,PA-46-350P,Takeoff,0.0,0.0,2.0,3.0,1994
De Havilland,DHC-2,Takeoff,0.0,0.0,0.0,3.0,1994
Cessna,140,Takeoff,0.0,0.0,0.0,1.0,1994
Boeing,A75N1,Landing,0.0,0.0,0.0,2.0,1994
Maule,M-5-210TC,Landing,0.0,1.0,0.0,0.0,1994
Piper,PA-32-300,Cruise,0.0,2.0,2.0,0.0,1994
Beech,B33,Takeoff,0.0,1.0,1.0,0.0,1994
Cessna,206,Takeoff,0.0,0.0,0.0,4.0,1994
Cessna,182P,Approach,0.0,0.0,0.0,1.0,1994
Bell,206B,Maneuvering,0.0,0.0,0.0,5.0,1994
Piper,PA-28R-201T,Approach,0.0,0.0,2.0,0.0,1994
Cessna,310,Approach,3.0,1.0,0.0,0.0,1994
Cessna,172XP,Cruise,0.0,0.0,0.0,1.0,1994
Helio,H295,Landing,0.0,0.0,0.0,1.0,1994
Piper,PA-12,Landing,0.0,0.0,0.0,2.0,1994
Bede Aircraft,BD-10,Takeoff,0.0,0.0,0.0,2.0,1994
Bell,UH-1B,Maneuvering,0.0,0.0,0.0,1.0,1994
Cessna,170B,Landing,0.0,0.0,0.0,1.0,1994
Cessna,310L,Go-around,0.0,0.0,2.0,3.0,1994
Piper,PA-12,Landing,0.0,0.0,0.0,2.0,1994
Eurocopter,AS-350-B2,Takeoff,0.0,0.0,2.0,1.0,1994
Cessna,T210M,Cruise,0.0,0.0,0.0,2.0,1994
Beech,D18S,Cruise,0.0,0.0,0.0,2.0,1994
Piper,PA-32R-300,Cruise,3.0,1.0,0.0,0.0,1994
Piper,PA-60-602P,Cruise,0.0,4.0,0.0,0.0,1994
Cessna,152,Maneuvering,0.0,0.0,0.0,1.0,1994
Cessna,210L,Landing,0.0,0.0,0.0,1.0,1994
Piper,PA-28-236,Climb,2.0,0.0,0.0,0.0,1994
Beech,A36,Landing,1.0,0.0,0.0,0.0,1994
Piper,PA-18-150,Cruise,0.0,1.0,0.0,0.0,1994
Piper,PA-32-301,Landing,0.0,0.0,0.0,2.0,1994
Beech,M35,Landing,0.0,0.0,0.0,2.0,1994
Cessna,A185E,Maneuvering,2.0,0.0,0.0,0.0,1994
Cessna,150G,Takeoff,0.0,0.0,0.0,1.0,1994
Beech,C35,,1.0,0.0,0.0,0.0,1994
Robinson,R-22B,Climb,1.0,0.0,0.0,0.0,1994
Piper,PA-39,Landing,0.0,0.0,0.0,2.0,1994
Piper,PA-24-250,Approach,1.0,0.0,0.0,0.0,1994
Cessna,185,Takeoff,0.0,0.0,0.0,3.0,1994
Piper,PA-28R-201T,Standing,0.0,0.0,0.0,6.0,1994
Hughes,269C,Cruise,0.0,0.0,0.0,2.0,1994
Canadair,CL 600,Descent,0.0,0.0,0.0,4.0,1994
Mooney,M-20J,Takeoff,0.0,1.0,0.0,0.0,1994
Beech,58,Takeoff,0.0,1.0,0.0,1.0,1994
Aeronca,SEDAN AR-15,Cruise,0.0,0.0,0.0,1.0,1994
Lake,LA-250,Descent,0.0,0.0,1.0,0.0,1994
Cessna,172N,Cruise,4.0,0.0,0.0,0.0,1994
Cessna,421A,Approach,0.0,2.0,4.0,0.0,1994
Cessna,205A,Landing,0.0,0.0,0.0,1.0,1994
Piper,PA-28-140,Takeoff,2.0,0.0,0.0,0.0,1994
Beech,A36,Approach,0.0,1.0,0.0,0.0,1994
Cessna,172N,Cruise,1.0,1.0,0.0,0.0,1994
Beech,58P,Maneuvering,4.0,0.0,0.0,0.0,1994
Piper,PA-601P,Landing,0.0,0.0,0.0,2.0,1994
Piper,PA-32-300,Climb,2.0,0.0,0.0,0.0,1994
Cessna,T210H,Takeoff,0.0,0.0,4.0,0.0,1994
Piper,PA-31T1,Cruise,2.0,0.0,0.0,0.0,1994
Douglas,DC-3C,,2.0,0.0,0.0,0.0,1994
Intermountain Mfg. (imco),CALLAIR A-9,Standing,0.0,0.0,0.0,3.0,1994
Piper,PA-28-140,Go-around,2.0,0.0,0.0,0.0,1994
Cessna,310Q,Takeoff,2.0,0.0,0.0,0.0,1994
Cessna,182M,Landing,0.0,0.0,0.0,1.0,1994
Beech,A60,Climb,3.0,0.0,0.0,0.0,1995
Cessna,501,,0.0,0.0,0.0,1.0,1995
Beech,B95,Go-around,3.0,0.0,0.0,0.0,1995
Cessna,P210R,Approach,0.0,1.0,0.0,0.0,1995
Cessna,414,Climb,4.0,2.0,0.0,0.0,1995
Piper,PA-31-350,Approach,0.0,0.0,1.0,0.0,1995
Bacon,QUESTAIR-VENTURE,Descent,2.0,0.0,0.0,0.0,1995
Beech,A36,Cruise,1.0,1.0,0.0,0.0,1995
Piper,PA-32R-300,Landing,0.0,2.0,0.0,0.0,1995
Cessna,152,Climb,0.0,0.0,0.0,1.0,1995
Cessna,177RG,Cruise,1.0,0.0,0.0,0.0,1995
Piper,PA-46-310P,Approach,2.0,2.0,0.0,0.0,1995
Israel Aircraft Industries,1124,Standing,0.0,0.0,0.0,2.0,1995
Beech,60,Climb,0.0,0.0,0.0,3.0,1995
Cessna,T210M,Approach,1.0,0.0,0.0,0.0,1995
Thunder And Colt,GA42,Approach,1.0,0.0,0.0,1.0,1995
Bell,206L,Takeoff,0.0,0.0,0.0,5.0,1995
Beech,58P,Approach,0.0,2.0,0.0,0.0,1995
Cessna,R182,Landing,0.0,0.0,0.0,3.0,1995
Bell,47,Approach,0.0,0.0,0.0,2.0,1995
Cessna,152,Cruise,0.0,0.0,0.0,2.0,1995
Cessna,180B,Cruise,2.0,0.0,0.0,0.0,1995
Douglas,C54GDC,Landing,0.0,0.0,0.0,2.0,1995
Cessna,402B,,1.0,0.0,0.0,0.0,1995
Bell,206L-1,Maneuvering,0.0,0.0,0.0,2.0,1995
Cessna,172D,Maneuvering,4.0,0.0,0.0,0.0,1995
Grumman,G-1159,,7.0,0.0,0.0,0.0,1995
Beech,BE60,Approach,2.0,0.0,0.0,0.0,1995
Cessna,310J,Cruise,0.0,0.0,0.0,3.0,1995
Beech,A36,Descent,0.0,1.0,1.0,0.0,1995
Piper,PA-23-250,Takeoff,2.0,0.0,0.0,0.0,1995
Piper,PA-34-200,Cruise,0.0,0.0,0.0,1.0,1995
De Havilland,DHC-2,Landing,0.0,0.0,0.0,1.0,1995
Cessna,402B,Taxi,0.0,0.0,0.0,4.0,1995
Piper,PA-31P-350,Cruise,3.0,0.0,0.0,0.0,1995
De Havilland,DHC-2,Cruise,5.0,0.0,0.0,0.0,1995
Piper,PA-28-235,Takeoff,0.0,0.0,0.0,1.0,1995
Cessna,182,Landing,0.0,0.0,0.0,1.0,1995
Cessna,310D,Approach,0.0,1.0,1.0,0.0,1995
Raven,S-60A,Descent,0.0,1.0,2.0,0.0,1995
Cessna,182C,Descent,0.0,0.0,0.0,1.0,1995
Cessna,206,Takeoff,0.0,0.0,0.0,6.0,1995
Gulfstream,GV-1,Landing,0.0,0.0,0.0,9.0,1995
Piper,PA-28-151,Taxi,0.0,0.0,0.0,1.0,1995
Aerostar,S-81-A,Landing,0.0,2.0,6.0,0.0,1995
De Havilland,DHC-2,Go-around,0.0,0.0,0.0,8.0,1995
Piper,PA-28,Takeoff,0.0,3.0,0.0,0.0,1995
Cessna,172,Takeoff,0.0,0.0,0.0,3.0,1995
Mooney,M20A,Takeoff,0.0,0.0,0.0,2.0,1995
Bell,47,Landing,0.0,0.0,2.0,0.0,1995
Beech,58,Climb,1.0,0.0,0.0,0.0,1995
Cessna,185A,Landing,0.0,0.0,0.0,4.0,1995
Wsk Pzl Mielec,M-26,Cruise,1.0,1.0,0.0,0.0,1995
Piper,PA-18A,Landing,0.0,0.0,0.0,1.0,1995
Piper,PA-31-350,Cruise,2.0,0.0,0.0,0.0,1995
Cessna,421,Landing,0.0,0.0,0.0,4.0,1995
Beech,P-35,Cruise,0.0,0.0,0.0,1.0,1995
